Абакум,Абакумович,Абакумовна
Захар,Захарович,Захаровна
Захарий,Захарьевич,Захарьевна
Зенон,Зенонович,Зеноновна
Зиновий,Зиновьевич,Зиновьевна
Зосим,Зосимович,Зосимовна
Зосима,Зосимич,Зосимична
Иаким,Иакимович,Иакимовна
Иакинф,Иакинфович,Иакинфовна
Иван,Иванович,Ивановна
Игнат,Игнатович,Игнатовна
Игнатий,Игнатьевич,Игнатьевна
Игорь,Игоревич,Игоревна
Измаил,Измайлович,Измайловна
Изосим,Изосимович,Изосимовна
Изот,Изотович,Изотовна
Иларион,Иларионович,Иларионовна
Илиодор,Илиодорович,Илиодоровна
Илья,Ильич,Ильинична
Иннокентий,Иннокентьевич,Иннокентьевна
Иоанн,Иоаннович,Иоанновна
Иона,Ионич,Ионична
Иосиф,Иосифович,Иосифовна
Ипат,Ипатович,Ипатовна
Ипатий,Ипатьевич,Ипатьевна
Ипполит,Ипполитович,Ипполитовна
Исаак,Исаакович,Исааковна
Исаакий,Исаакиевич,Исаакиевна
Исай,Исаевич,Исаевна
Исак,Исакович,Исаковна
Исакий,Исакиевич,Исакиевна
Исидор,Исидорович,Исидоровна
Иустин,Иустинович,Иустиновна
Казимир,Казимирович,Казимировна
Каллиник,Каллиникович,Каллиниковна
Каллистрат,Каллистратович,Каллистратовна
Капитон,Капитонович,Капитоновна
Карл,Карлович,Карловна
Карп,Карпович,Карповна
Касьян,Касьянович,Касьяновна
Ким,Кимович,Кимовна
Киприан,Киприанович,Киприановна
Кириак,Кириакович,Кириаковна
Кирьяк,Кирьякович,Кирьяковна
Кирсан,Кирсанович,Кирсановна
Кирилл,Кириллович,Кирилловна
Клавдий,Клавдиевич,Клавдиевна
Клим,Климович,Климовна
Климент,Климентович,Климентовна
Климентий,Климентиевич,Климентиевна
Кондрат,Кондратович,Кондратовна
Кондратий,Кондратьевич,Кондратьевна
Конон,Кононович,Кононовна
Константин,Константинович,Константиновна
Корней,Корнеевич,Корнеевна
Корнил,Корнилович,Корниловна
Корнилий,Корнилиевич,Корнилиевна
Ксенофонт,Ксенофонтович,Ксенофонтовна
Кузьма,Кузьмич,Кузьминична
Куприян,Куприянович,Куприяновна
Лавр,Лаврович,Лавровна
Лаврентий,Лаврентиевич,Лаврентиевна
Лазарь,Лазаревич,Лазаревна
Ларион,Ларионович,Ларионовна
Лев,Львович,Львовна
Леон,Леонович,Леоновна
Леонард,Леонардович,Леонардовна
Леонид,Леонидович,Леонидовна
Леонтий,Леонтиевич,Леонтиевна
Леопольд,Леопольдович,Леопольдовна
Логвин,Логвинович,Логвиновна
Лука,Лукич,Лукинична
Лукьян,Лукьянович,Лукьяновна
Маврикий,Маврикьевич,Маврикьевна
Май,Маевич,Маевна
Макар,Макарович,Макаровна
Макарий,Макарьевич,Макарьевна
Максим,Максимович,Максимовна
Максимиан,Максимианович,Максимиановна
Максимилиан,Максимилианович,Максимилиановна
Максимильян,Максимильянович,Максимильяновна
Мануил,Мануилович,Мануиловна
Марк,Маркович,Марковна
Маркел,Маркелович,Маркеловна
Марлен,Марленович,Марленовна
Мартимьян,Мартимьянович,Мартимьяновна
Мартин,Мартинович,Мартиновна
Мартиниан,Мартинианович,Мартиниановна
Мартын,Мартынович,Мартыновна
Мартьян,Мартьянович,Мартьяновна
Матвей,Матвеевич,Матвеевна
Мелентий,Мелентьевич,Мелентьевна
Мелетий,Мелетьевич,Мелетьевна
Меркул,Меркулович,Меркуловна
Меркурий,Меркурьевич,Меркурьевна
Мефодий,Мефодьевич,Мефодьевна
Милий,Милиевич,Милиевна
Мина,Минич,Минична
Минай,Минаевич,Минаевна
Мирон,Миронович,Мироновна
Митрофан,Митрофанович,Митрофановна
Митрофаний,Митрофаньевич,Митрофаньевна
Михаил,Михайлович,Михайловна
Михей,Михеевич,Михеевна
Модест,Модестович,Модестовна
Моисей,Моисеевич,Моисеевна
Мокей,Мокеевич,Мокеевна
Мокий,Мокиевич,Мокиевна
Мстислав,Мстиславич,Мстиславна
Назар,Назарович,Назаровна
Назарий,Назарьевич,Назарьевна
Наркис,Наркисович,Наркисовна
Наум,Наумович,Наумовна
Нестер,Нестерович,Нестеровна
Нестор,Несторович,Несторовна
Нефёд,Нефёдович,Нефёдовна
Никандр,Никандрович,Никандровна
Никанор,Никанорович,Никаноровна
Никита,Никитич,Никитична
Никифор,Никифорович,Никифоровна
Никодим,Никодимович,Никодимовна
Николай,Николаевич,Николаевна
Никон,Никонович,Никоновна
Нил,Нилович,Ниловна
Нифонт,Нифонтович,Нифонтовна
Олег,Олегович,Олеговна
Олимпий,Олимпиевич,Олимпиевна
Онисим,Онисимович,Онисимовна
Онуфрий,Онуфриевич,Онуфриевна
Орест,Орестович,Орестовна
Осип,Осипович,Осиповна
Оскар,Оскарович,Оскаровна
Остап,Остапович,Остаповна
Павел,Павлович,Павловна
Павлин,Павлинович,Павлиновна
Палладий,Палладьевич,Палладьевна
Памфил,Памфилович,Памфиловна
Памфилий,Памфильевич,Памфильевна
Панкрат,Панкратович,Панкратовна
Панкратий,Панкратьевич,Панкратьевна
Пантелей,Пантелеевич,Пантелеевна
Пантелеймон,Пантелеймонович,Пантелеймоновна
Панфил,Панфилович,Панфиловна
Парамон,Парамонович,Парамоновна
Пармен,Парменович,Парменовна
Пармён,Пармёнович,Пармёновна
Парфён,Парфёнович,Парфёновна
Парфений,Парфеньевич,Парфеньевна
Парфентий,Парфентьевич,Парфентьевна
Патрикей,Патрикеевич,Патрикеевна
Патрикий,Патрикиевич,Патрикиевна
Пафнутий,Пафнутьевич,Пафнутьевна
Пахом,Пахомович,Пахомовна
Пахомий,Пахомьевич,Пахомьевна
Пётр,Петрович,Петровна
Пимен,Пименович,Пименовна
Платон,Платонович,Платоновна
Полиевкт,Полиевктович,Полиевктовна
Полиект,Полиектович,Полиектовна
Поликарп,Поликарпович,Поликарповна
Поликарпий,Поликарпьевич,Поликарпьевна
Порфир,Порфирович,Порфировна
Порфирий,Порфирьевич,Порфирьевна
Потап,Потапович,Потаповна
Пров,Прович,Провна
Прокл,Проклович,Прокловна
Прокоп,Прокопович,Прокоповна
Прокопий,Прокопьевич,Прокопьевна
Прокофий,Прокофьевич,Прокофьевна
Протас,Протасович,Протасовна
Протасий,Протасьевич,Протасьевна
Прохор,Прохорович,Прохоровна
Радий,Радиевич,Радиевна
Рафаил,Рафаилович,Рафаиловна
Роберт,Робертович,Робертовна
Родион,Родионович,Родионовна
Роман,Романович,Романовна
Ростислав,Ростиславич,Ростиславна
Рудольф,Рудольфович,Рудольфовна
Рюрик,Рюрикович,Рюриковна
Савва,Саввич,Саввична
Савватей,Савватеевич,Савватеевна
Савватий,Савватьевич,Савватьевна
Савёл,Савёлович,Савёловна
Савелий,Савельевич,Савельевна
Самойла,Самойлович,Самойловна
Самсон,Самсонович,Самсоновна
Самуил,Самуилович,Самуиловна
Святослав,Святославич,Святославна
Севастьян,Севастьянович,Севастьяновна
Северьян,Северьянович,Северьяновна
Селиван,Селиванович,Селивановна
Селивёрст,Селивёрстович,Селивёрстовна
Селифан,Селифанович,Селифановна
Семён,Семёнович,Семёновна
Серафим,Серафимович,Серафимовна
Сергей,Сергеевич,Сергеевна
Сидор,Сидорович,Сидоровна
Силантий,Силантьевич,Силантьевна
Сильвестр,Сильвестрович,Сильвестровна
Симон,Симонович,Симоновна
Созон,Созонович,Созоновна
Созонт,Созонтович,Созонтовна
Созонтий,Созонтьевич,Созонтьевна
Соломон,Соломонович,Соломоновна
Софон,Софонович,Софоновна
Софоний,Софоньевич,Софоньевна
Софрон,Софронович,Софроновна
Софроний,Софроньевич,Софроньевна
Спиридон,Спиридонович,Спиридоновна
Спиридоний,Спиридоньевич,Спиридоньевна
Станислав,Станиславич,Станиславна
Степан,Степанович,Степановна
Сысой,Сысоевич,Сысоевна
Тарас,Тарасович,Тарасовна
Терентий,Терентьевич,Терентьевна
Тимофей,Тимофеевич,Тимофеевна
Тимур,Тимурович,Тимуровна
Тит,Титович,Титовна
Тихон,Тихонович,Тихоновна
Трифилий,Трифильевич,Трифильевна
Трифон,Трифонович,Трифоновна
Трофим,Трофимович,Трофимовна
Ульян,Ульянович,Ульяновна
Устин,Устинович,Устиновна
Фадей,Фадеевич,Фадеевна
Фёдор,Фёдорович,Фёдоровна
Федос,Федосович,Федосовна
Федосей,Федосеевич,Федосеевна
Федот,Федотович,Федотовна
Федотий,Федотьевич,Федотьевна
Феликс,Феликсович,Феликсовна
Феоктист,Феоктистович,Феоктистовна
Феофан,Феофанович,Феофановна
Феофил,Феофилович,Феофиловна
Феофилакт,Феофилактович,Феофилактовна
Ферапонт,Ферапонтович,Ферапонтовна
Филарет,Филаретович,Филаретовна
Филат,Филатович,Филатовна
Филимон,Филимонович,Филимоновна
Филипий,Филипьевич,Филипьевна
Филипп,Филиппович,Филипповна
Фирс,Фирсович,Фирсовна
Флегонт,Флегонтович,Флегонтовна
Фока,Фокич,Фокична
Фома,Фомич,Фоминична
Фотий,Фотьевич,Фотьевна
Фридрих,Фридрихович,Фридриховна
Фрол,Фролович,Фроловна
Харитон,Харитонович,Харитоновна
Харитоний,Харитоньевич,Харитоньевна
Харлам,Харламович,Харламовна
Харламп,Харлампович,Харламповна
Харлампий,Харлампьевич,Харлампьевна
Хрисанф,Хрисанфович,Хрисанфовна
Христофор,Христофорович,Христофоровна
Эдуард,Эдуардович,Эдуардовна
Эмилий,Эмильевич,Эмильевна
Эммануил,Эммануилович,Эммануиловна
Эрнест,Эрнестович,Эрнестовна
Юлиан,Юлианович,Юлиановна
Юлий,Юльевич,Юльевна
Юрий,Юрьевич,Юрьевна
Яким,Якимович,Якимовна
Яков,Яковлевич,Яковлевна
Ярослав,Ярославич,Ярославна
